timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725907028452,188,HTTP Request,200,OK,Thread Group 1-1,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,54,0,38
1725907028452,54,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,364,129,2,2,http://careercenter.tops-int.com/,54,0,38
1725907028507,133,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,132,0,51
1725907028558,135,HTTP Request,200,OK,Thread Group 1-2,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,31,0,16
1725907028558,31,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,364,129,2,2,http://careercenter.tops-int.com/,31,0,16
1725907028590,103,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,102,0,42
1725907028666,135,HTTP Request,200,OK,Thread Group 1-3,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,26,0,13
1725907028666,26,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,364,129,2,2,http://careercenter.tops-int.com/,26,0,13
1725907028693,108,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,108,0,48
1725907028760,150,HTTP Request,200,OK,Thread Group 1-4,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,28,0,15
1725907028760,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,364,129,2,2,http://careercenter.tops-int.com/,28,0,15
1725907028789,121,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,121,0,54
1725907028855,140,HTTP Request,200,OK,Thread Group 1-5,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,29,0,15
1725907028855,29,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,364,129,2,2,http://careercenter.tops-int.com/,29,0,15
1725907028885,110,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,109,0,37
1725907028964,129,HTTP Request,200,OK,Thread Group 1-6,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,32,0,19
1725907028964,32,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,364,129,2,2,http://careercenter.tops-int.com/,32,0,19
1725907028997,96,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,95,0,31
1725907029057,137,HTTP Request,200,OK,Thread Group 1-7,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,28,0,15
1725907029057,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,364,129,2,2,http://careercenter.tops-int.com/,28,0,15
1725907029086,108,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,105,0,32
1725907029166,132,HTTP Request,200,OK,Thread Group 1-8,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,28,0,14
1725907029166,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,364,129,2,2,http://careercenter.tops-int.com/,28,0,14
1725907029195,103,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,103,0,40
1725907029260,130,HTTP Request,200,OK,Thread Group 1-9,text,true,,26078,258,2,2,https://careercenter.tops-int.com/,30,0,17
1725907029260,30,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,364,129,2,2,http://careercenter.tops-int.com/,30,0,17
1725907029290,100,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,25714,129,2,2,https://careercenter.tops-int.com/,100,0,33
1725907029356,171,HTTP Request,200,OK,Thread Group 1-10,text,true,,26078,258,1,1,https://careercenter.tops-int.com/,28,0,14
1725907029356,28,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,364,129,1,1,http://careercenter.tops-int.com/,28,0,14
1725907029386,141,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,25714,129,1,1,https://careercenter.tops-int.com/,135,0,48
1725938217536,471,HTTP Request,200,OK,Thread Group 1-4,text,true,,26078,258,8,8,https://careercenter.tops-int.com/,40,0,21
1725938217536,40,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,364,129,8,8,http://careercenter.tops-int.com/,40,0,21
1725938217577,430,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,25714,129,8,8,https://careercenter.tops-int.com/,422,0,326
1725938217320,697,HTTP Request,200,OK,Thread Group 1-1,text,true,,26078,258,7,7,https://careercenter.tops-int.com/,94,0,60
1725938217320,100,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,364,129,7,7,http://careercenter.tops-int.com/,94,0,60
1725938217422,595,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,25714,129,7,7,https://careercenter.tops-int.com/,594,0,481
1725938217639,382,HTTP Request,200,OK,Thread Group 1-5,text,true,,26078,258,6,6,https://careercenter.tops-int.com/,50,0,27
1725938217639,50,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,364,129,6,6,http://careercenter.tops-int.com/,50,0,27
1725938217689,332,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,25714,129,6,6,https://careercenter.tops-int.com/,328,0,214
1725938217742,319,HTTP Request,200,OK,Thread Group 1-6,text,true,,26078,258,6,6,https://careercenter.tops-int.com/,47,0,25
1725938217742,47,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,364,129,6,6,http://careercenter.tops-int.com/,47,0,25
1725938217789,272,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,25714,129,6,6,https://careercenter.tops-int.com/,266,0,114
1725938217340,724,HTTP Request,200,OK,Thread Group 1-2,text,true,,26078,258,5,5,https://careercenter.tops-int.com/,74,0,39
1725938217340,80,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,364,129,5,5,http://careercenter.tops-int.com/,74,0,39
1725938217424,640,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,25714,129,5,5,https://careercenter.tops-int.com/,639,0,479
1725938217438,630,HTTP Request,200,OK,Thread Group 1-3,text,true,,26078,258,4,4,https://careercenter.tops-int.com/,46,0,23
1725938217438,46,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,364,129,4,4,http://careercenter.tops-int.com/,46,0,23
1725938217484,584,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,25714,129,4,4,https://careercenter.tops-int.com/,582,0,419
1725938217842,247,HTTP Request,200,OK,Thread Group 1-7,text,true,,26078,258,3,3,https://careercenter.tops-int.com/,44,0,24
1725938217842,44,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,364,129,3,3,http://careercenter.tops-int.com/,44,0,24
